pet_id,birth_day,age,gender,country,registration_date,housing_type,outdoor_space,family_type,hours_available,weekend_time,experience_level,training_ability,activity_level,noise_tolerance,budget_level,maintenance_tolerance,size_preference,grooming_tolerance,energy_preference,affection_preference,animal_type,breed
PET_031522,2016-07-28,10,Female,Canada,2016-11-30,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031924,2021-02-06,5,Male,Germany,2021-12-03,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031687,2020-05-09,6,Male,Australia,2020-10-18,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032160,2019-03-20,7,Male,United States,2019-05-22,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032017,2021-10-25,5,Female,United States,2022-08-29,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032184,2021-06-14,5,Male,Canada,2021-08-23,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031609,2023-10-12,3,Male,Japan,2024-03-26,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031911,2021-10-15,5,Female,Saudi Arabia,2021-11-17,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031559,2018-02-04,8,Female,Saudi Arabia,2018-11-13,house,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032250,2016-04-21,10,Female,Canada,2016-07-01,house,balcony,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031468,2022-09-29,4,Female,United States,2023-08-04,apartment,balcony,couple,high,high,beginner,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031653,2021-03-06,5,Female,United Arab Emirates,2021-12-12,house,garden,family_with_children,high,high,intermediate,high,high,medium,medium,high,medium,low,high,balanced,cat,Abyssinian
PET_031797,2024-05-30,2,Female,Japan,2024-11-20,apartment,none,family_with_children,high,high,intermediate,high,high,medium,low,medium,medium,low,high,balanced,cat,Abyssinian
PET_031949,2013-12-23,13,Male,Australia,2014-04-13,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032148,2018-10-31,8,Female,United Arab Emirates,2019-04-19,house,balcony,alone,high,low,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031958,2024-06-18,2,Male,Canada,2025-02-04,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031801,2017-09-26,9,Male,Germany,2017-10-27,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031828,2023-05-20,3,Male,United Kingdom,2023-08-24,apartment,balcony,couple,high,high,beginner,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032143,2018-12-20,8,Male,United Arab Emirates,2019-04-23,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032000,2013-02-09,13,Male,Germany,2013-04-21,apartment,balcony,alone,high,low,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032282,2017-10-16,9,Female,Australia,2018-10-09,apartment,none,family_with_children,medium,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031763,2020-02-24,6,Female,Japan,2020-10-04,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,low,medium,low,high,balanced,cat,Abyssinian
PET_032050,2019-11-06,7,Female,Australia,2020-02-19,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031842,2025-01-31,1,Male,Germany,2025-08-30,house,none,family_with_children,low,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031613,2024-02-10,2,Male,United Arab Emirates,2024-06-21,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032164,2012-01-01,14,Female,Japan,2012-12-26,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032263,2015-12-02,11,Male,United Kingdom,2016-04-01,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032043,2021-02-16,5,Male,Germany,2021-12-29,farm,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031761,2019-06-10,7,Male,United Kingdom,2019-09-15,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032317,2024-03-28,2,Female,United Arab Emirates,2024-09-29,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,small,low,high,balanced,cat,Abyssinian
PET_031656,2022-02-16,4,Female,United Arab Emirates,2022-10-01,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031266,2018-02-08,8,Female,Australia,2018-10-08,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,medium,balanced,cat,Abyssinian
PET_032038,2020-10-12,6,Female,United Kingdom,2021-07-18,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031642,2013-08-30,13,Male,Saudi Arabia,2013-12-20,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032014,2022-06-17,4,Male,United Kingdom,2022-08-05,apartment,garden,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,low,balanced,cat,Abyssinian
PET_032077,2025-07-31,1,Female,Saudi Arabia,2026-03-02,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031369,2019-04-10,7,Female,United Kingdom,2019-10-26,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032232,2024-01-31,2,Female,Germany,2024-09-28,apartment,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032310,2022-12-22,4,Male,Australia,2023-10-24,apartment,balcony,couple,high,high,intermediate,high,high,low,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031518,2023-07-26,3,Male,United Arab Emirates,2023-09-23,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031504,2015-09-06,11,Female,Japan,2016-05-28,apartment,balcony,family_with_children,high,high,intermediate,high,medium,medium,medium,medium,medium,high,high,balanced,cat,Abyssinian
PET_031750,2021-01-28,5,Male,United Arab Emirates,2021-07-31,apartment,none,alone,high,high,intermediate,low,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032097,2022-11-26,4,Female,United Arab Emirates,2023-02-23,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031886,2025-03-27,1,Female,Canada,2025-06-06,apartment,balcony,family_with_children,high,high,intermediate,high,high,high,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031677,2025-03-21,1,Male,United Kingdom,2025-12-20,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031431,2023-02-19,3,Male,Australia,2024-01-11,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031401,2021-12-01,5,Female,Australia,2022-11-01,house,none,family_with_children,high,high,intermediate,high,low,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031519,2022-03-08,4,Female,Saudi Arabia,2022-12-11,farm,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032031,2012-08-19,14,Male,Australia,2013-05-07,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031283,2020-08-30,6,Male,Canada,2020-12-03,apartment,garden,couple,high,high,beginner,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031800,2015-08-28,11,Male,Germany,2016-08-22,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031477,2015-06-06,11,Male,United States,2015-09-17,apartment,none,family_with_children,high,high,expert,high,medium,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032235,2020-05-01,6,Male,Germany,2021-03-29,house,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032214,2014-04-20,12,Female,United States,2014-09-25,apartment,balcony,alone,high,high,intermediate,medium,high,medium,low,medium,medium,low,high,balanced,cat,Abyssinian
PET_031587,2016-03-25,10,Male,Germany,2016-04-24,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031712,2024-03-13,2,Female,United Kingdom,2024-04-30,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032333,2013-04-26,13,Male,United States,2013-10-15,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031306,2019-04-02,7,Male,Germany,2019-11-22,house,garden,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032372,2017-09-11,9,Male,Canada,2017-11-28,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032206,2020-01-17,6,Male,Japan,2020-12-18,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,medium,balanced,cat,Abyssinian
PET_031275,2012-05-07,14,Female,Japan,2012-11-04,house,balcony,couple,high,high,intermediate,high,high,medium,medium,high,medium,low,high,balanced,cat,Abyssinian
PET_031211,2012-04-15,14,Male,Saudi Arabia,2012-08-27,house,none,alone,high,medium,intermediate,high,high,medium,medium,medium,medium,low,high,independent,cat,Abyssinian
PET_032283,2018-01-13,8,Male,United Kingdom,2018-06-18,house,none,family_with_children,high,high,intermediate,high,medium,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032203,2016-08-13,10,Male,United Kingdom,2017-07-03,apartment,garden,family_with_children,medium,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032345,2012-07-26,14,Female,United Arab Emirates,2013-06-12,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,medium,balanced,cat,Abyssinian
PET_032323,2019-07-22,7,Female,Saudi Arabia,2020-04-01,apartment,large_yard,couple,high,high,intermediate,high,high,high,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031862,2019-03-03,7,Female,United Arab Emirates,2019-10-13,apartment,garden,couple,high,high,intermediate,high,high,high,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031365,2012-01-14,14,Female,United States,2012-09-11,house,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,very_affectionate,cat,Abyssinian
PET_031899,2014-03-10,12,Female,Australia,2014-10-13,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032170,2024-01-07,2,Male,United Kingdom,2024-05-21,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031425,2024-09-28,2,Male,United Kingdom,2025-09-08,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031748,2015-12-02,11,Male,United Arab Emirates,2016-02-04,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032260,2015-09-23,11,Male,United States,2016-01-08,apartment,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031251,2020-12-20,6,Female,United Arab Emirates,2021-07-09,house,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031465,2023-02-08,3,Female,Australia,2023-05-05,house,none,couple,high,high,intermediate,high,high,medium,high,medium,medium,low,high,balanced,cat,Abyssinian
PET_031822,2024-02-06,2,Male,Saudi Arabia,2025-02-01,apartment,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031419,2018-06-11,8,Female,United Arab Emirates,2018-07-31,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031394,2020-02-11,6,Female,Canada,2021-01-15,house,garden,family_with_children,high,medium,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031364,2022-11-12,4,Male,Saudi Arabia,2023-07-08,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031622,2019-11-12,7,Male,Japan,2020-10-11,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,low,medium,low,high,balanced,cat,Abyssinian
PET_031711,2018-09-07,8,Female,Germany,2019-09-01,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032299,2019-10-03,7,Female,Saudi Arabia,2019-12-13,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031889,2017-01-16,9,Male,Japan,2017-12-26,house,garden,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031459,2018-11-14,8,Male,Australia,2019-03-04,apartment,garden,family_with_children,high,low,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031347,2021-10-28,5,Female,United Kingdom,2022-07-04,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031227,2024-01-15,2,Female,Germany,2024-09-04,apartment,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031831,2021-05-15,5,Male,United Kingdom,2021-06-14,apartment,none,couple,medium,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031965,2012-07-24,14,Male,Saudi Arabia,2013-02-12,house,none,couple,high,medium,intermediate,high,high,medium,medium,medium,medium,medium,high,balanced,cat,Abyssinian
PET_031685,2012-08-29,14,Female,United Arab Emirates,2013-05-27,house,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031713,2017-05-20,9,Male,United Arab Emirates,2017-11-23,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031630,2014-03-13,12,Female,Canada,2014-07-21,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031733,2021-11-18,5,Female,United Arab Emirates,2022-11-03,house,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032241,2019-03-03,7,Male,United Kingdom,2020-01-03,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031868,2016-11-06,10,Male,United States,2017-07-04,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031806,2024-10-03,2,Female,Saudi Arabia,2025-09-21,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031447,2023-02-25,3,Female,Australia,2023-09-22,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,high,medium,low,high,independent,cat,Abyssinian
PET_031783,2025-04-30,1,Male,Saudi Arabia,2025-12-28,farm,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032039,2023-12-30,3,Male,Australia,2024-08-09,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031811,2023-02-06,3,Male,Germany,2023-06-07,apartment,garden,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032145,2012-10-04,14,Male,United States,2013-04-06,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031214,2023-12-01,3,Female,Saudi Arabia,2024-02-08,apartment,balcony,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031964,2021-08-06,5,Female,Saudi Arabia,2022-07-21,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031627,2025-11-14,1,Male,United States,2026-01-01,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031512,2015-05-06,11,Male,Saudi Arabia,2015-06-26,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031595,2017-05-23,9,Male,United States,2017-11-27,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031259,2025-02-10,1,Male,Saudi Arabia,2025-10-29,house,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031549,2015-06-23,11,Female,Saudi Arabia,2016-05-17,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031908,2020-09-09,6,Female,Saudi Arabia,2020-12-04,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031602,2024-12-10,2,Male,Australia,2025-09-03,apartment,garden,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032289,2021-02-16,5,Female,Saudi Arabia,2021-08-10,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032315,2022-01-09,4,Female,Saudi Arabia,2023-01-03,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032207,2019-01-03,7,Male,United Arab Emirates,2019-07-11,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
