breed,animal_type,size,energy,grooming,trainability,noise,maintenance,budget,experience,affection,kid_friendly
Egyptian Mau,cat,medium,high,low,medium,medium,medium,high,intermediate,balanced,high
Budgerigar,bird,small,medium,low,high,medium,low,low,beginner,balanced,high
Cockatiel,bird,medium,medium,low,high,medium,medium,low,beginner,very_affectionate,high
Lovebird,bird,small,high,low,medium,high,medium,low,intermediate,balanced,medium
Indian Ringneck Parakeet,bird,medium,high,low,high,high,high,medium,expert,independent,low
Green-Cheeked Conure,bird,small,high,low,high,high,medium,medium,intermediate,very_affectionate,high
Cockatoo,bird,large,high,high,high,high,high,high,expert,very_affectionate,medium
African Grey Parrot,bird,large,medium,low,high,medium,high,high,expert,balanced,medium
Macaw,bird,large,high,low,high,high,high,high,expert,very_affectionate,medium
Canary,bird,small,low,low,low,low,low,low,beginner,independent,high
Zebra Finch,bird,small,medium,low,low,low,low,low,beginner,independent,high
Gouldian Finch,bird,small,low,low,low,low,medium,medium,intermediate,independent,medium
Eclectus Parrot,bird,large,medium,low,high,high,high,high,expert,balanced,medium
Amazon Parrot,bird,large,high,low,high,high,high,high,expert,balanced,medium
Quaker Parrot,bird,medium,high,low,high,high,medium,medium,intermediate,very_affectionate,high
Pacific Parrotlet,bird,small,high,low,medium,medium,medium,low,intermediate,balanced,medium
Senegal Parrot,bird,medium,medium,low,high,medium,medium,medium,intermediate,balanced,medium
Pionus Parrot,bird,medium,low,low,medium,low,medium,medium,intermediate,balanced,high
Button Quail,bird,small,medium,low,low,low,low,low,beginner,independent,medium
Betta Fish,fish,small,low,low,low,low,low,low,beginner,independent,high
Guppy,fish,small,medium,low,low,low,low,low,beginner,independent,high
Goldfish,fish,medium,high,low,low,low,medium,low,beginner,independent,high
Angelfish,fish,medium,medium,low,low,low,medium,medium,intermediate,independent,medium
Zebra Danio,fish,small,high,low,low,low,low,low,beginner,independent,high
Discus,fish,medium,low,low,low,low,high,high,expert,independent,low
Holland Lop,rabbit,small,medium,medium,medium,low,medium,medium,beginner,very_affectionate,high
Netherland Dwarf,rabbit,small,high,low,medium,low,medium,medium,intermediate,balanced,medium
Mini Rex,rabbit,small,medium,low,high,low,low,low,beginner,very_affectionate,high
Flemish Giant,rabbit,large,low,low,high,low,high,high,intermediate,very_affectionate,high
Lionhead,rabbit,small,medium,high,medium,low,medium,medium,beginner,very_affectionate,high
French Lop,rabbit,large,low,medium,medium,low,high,high,intermediate,very_affectionate,high
New Zealand,rabbit,large,medium,low,medium,low,medium,medium,beginner,balanced,high
Rex,rabbit,medium,medium,low,high,low,medium,medium,beginner,very_affectionate,high
English Angora,rabbit,medium,low,high,medium,low,high,high,expert,balanced,medium
Dutch,rabbit,small,high,low,high,low,low,low,beginner,very_affectionate,high
Syrian Hamster,hamster,small,medium,low,low,low,low,low,beginner,balanced,medium
Campbell Dwarf Hamster,hamster,small,high,low,low,low,low,low,intermediate,independent,low
Roborovski Hamster,hamster,small,high,low,low,low,low,low,expert,independent,low
Chinese Hamster,hamster,small,medium,low,low,low,low,low,intermediate,balanced,medium
Long-Haired Syrian,hamster,small,medium,high,low,low,medium,low,intermediate,balanced,medium
Teddy Bear Hamster,hamster,small,medium,low,low,low,low,low,beginner,very_affectionate,high
Black Bear Hamster,hamster,small,low,low,low,low,low,low,beginner,very_affectionate,high
Panda Hamster,hamster,small,medium,low,low,low,low,low,beginner,balanced,high
Red-Eared Slider,turtle,medium,medium,low,low,low,medium,medium,beginner,independent,high
Russian Tortoise,turtle,small,low,low,low,low,low,low,beginner,independent,high
Greek Tortoise,turtle,small,low,low,low,low,medium,medium,intermediate,independent,medium
Sulcata Tortoise,turtle,large,medium,low,low,low,high,high,expert,independent,medium
Painted Turtle,turtle,small,medium,low,low,low,medium,medium,beginner,independent,high
Box Turtle,turtle,small,low,low,low,low,high,medium,expert,independent,medium
Hermann Tortoise,turtle,small,low,low,low,low,low,medium,beginner,independent,high
Leopard Tortoise,turtle,large,low,low,low,low,high,high,expert,independent,medium
